"country","commodity","year","usd","product"
"Albania","Coral and the like",1996,391,"corals"
"Albania","Coral and the like",1997,137,"corals"
"Albania","Coral and the like",1998,156,"corals"
"Albania","Coral and the like",1999,316,"corals"
"Albania","Coral and the like",2000,57,"corals"
"Albania","Coral and the like",2001,21,"corals"
"Albania","Coral and the like",2002,33,"corals"
"Albania","Coral and the like",2003,54,"corals"
"Albania","Coral and the like",2004,126,"corals"
"Albania","Coral and the like",2005,29,"corals"
"Albania","Coral and the like",2006,29,"corals"
"Albania","Coral and the like",2007,0,"corals"
"Albania","Coral and the like",2008,136,"corals"
"Albania","Coral and the like",2009,120,"corals"
"Albania","Coral and the like",2010,0,"corals"
"Albania","Coral and the like",2011,160,"corals"
"Albania","Coral and the like",1976,,"corals"
"Albania","Coral and the like",1977,,"corals"
"Albania","Coral and the like",1978,,"corals"
"Albania","Coral and the like",1979,,"corals"
"Albania","Coral and the like",1980,,"corals"
"Albania","Coral and the like",1981,,"corals"
"Albania","Coral and the like",1982,,"corals"
"Albania","Coral and the like",1983,,"corals"
"Albania","Coral and the like",1984,,"corals"
"Albania","Coral and the like",1985,,"corals"
"Albania","Coral and the like",1986,,"corals"
"Albania","Coral and the like",1987,,"corals"
"Albania","Coral and the like",1988,,"corals"
"Albania","Coral and the like",1989,,"corals"
"Albania","Coral and the like",1990,,"corals"
"Albania","Coral and the like",1991,,"corals"
"Albania","Coral and the like",1992,,"corals"
"Albania","Coral and the like",1993,,"corals"
"Albania","Coral and the like",1994,,"corals"
"Albania","Coral and the like",1995,,"corals"
"Albania","Ornamental fish nei",2000,1,"ornamentals"
"Albania","Ornamental fish nei",2001,0.1,"ornamentals"
"Albania","Ornamental fish nei",2004,4,"ornamentals"
"Albania","Ornamental fish nei",2005,1,"ornamentals"
"Albania","Ornamental fish nei",2006,6,"ornamentals"
"Albania","Ornamental fish nei",2008,16,"ornamentals"
"Albania","Ornamental fish nei",2009,5,"ornamentals"
"Albania","Ornamental fish nei",2010,0,"ornamentals"
"Albania","Ornamental fish nei",2011,0,"ornamentals"
"Albania","Ornamental fish nei",1976,,"ornamentals"
"Albania","Ornamental fish nei",1977,,"ornamentals"
"Albania","Ornamental fish nei",1978,,"ornamentals"
"Albania","Ornamental fish nei",1979,,"ornamentals"
"Albania","Ornamental fish nei",1980,,"ornamentals"
"Albania","Ornamental fish nei",1981,,"ornamentals"
"Albania","Ornamental fish nei",1982,,"ornamentals"
"Albania","Ornamental fish nei",1983,,"ornamentals"
"Albania","Ornamental fish nei",1984,,"ornamentals"
"Albania","Ornamental fish nei",1985,,"ornamentals"
"Albania","Ornamental fish nei",1986,,"ornamentals"
"Albania","Ornamental fish nei",1987,,"ornamentals"
"Albania","Ornamental fish nei",1988,,"ornamentals"
"Albania","Ornamental fish nei",1989,,"ornamentals"
"Albania","Ornamental fish nei",1990,,"ornamentals"
"Albania","Ornamental fish nei",1991,,"ornamentals"
"Albania","Ornamental fish nei",1992,,"ornamentals"
"Albania","Ornamental fish nei",1993,,"ornamentals"
"Albania","Ornamental fish nei",1994,,"ornamentals"
"Albania","Ornamental fish nei",1995,,"ornamentals"
"Albania","Ornamental fish nei",1996,,"ornamentals"
"Albania","Ornamental fish nei",1997,,"ornamentals"
"Albania","Ornamental fish nei",1998,,"ornamentals"
"Albania","Ornamental fish nei",1999,,"ornamentals"
"Albania","Ornamental fish nei",2002,,"ornamentals"
"Albania","Ornamental fish nei",2003,,"ornamentals"
"Albania","Ornamental fish nei",2007,,"ornamentals"
"Albania","Other seaweeds and aquatic plants and products thereof",2011,11,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1976,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1977,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1978,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1979,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1980,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1981,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1982,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1983,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1984,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1985,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1986,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1987,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1988,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1989,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1990,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1991,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1992,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1993,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1994,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1995,,"seaweeds"
"Albania","Other seaweeds and aquatic plants and products thereof",1996,,"seaweeds"
